timestamp,humidity_abs,temp_ambient,nox_unit_1,nox_unit_2,nox_unit_3,nox_unit_4,nox_unit_5,nox_unit_6
2024-01-01 00:00:00,9.244,23.22,810.88,829.79,858.24,,817.71,875.45
2024-01-01 01:00:00,8.509,24.201,884.58,826.16,885.06,1383.69,852.77,967.3
2024-01-01 02:00:00,10.261,23.14,779.96,748.2,765.86,1434.15,741.64,815.61
2024-01-01 03:00:00,10.693,23.396,792.23,726.13,788.59,1430.79,743.27,797.44
2024-01-01 04:00:00,8.601,25.616,850.07,847.63,852.35,1485.35,844.11,921.21
2024-01-01 05:00:00,9.27,24.704,833.16,793.16,799.57,1488.83,860.27,823.29
2024-01-01 06:00:00,10.485,23.955,793.63,775.6,770.98,1469.29,,879.07
2024-01-01 07:00:00,10.12,26.805,801.05,859.08,817.43,1480.75,812.56,817.04
2024-01-01 08:00:00,10.27,24.704,758.79,785.15,788.25,1463.88,775.02,843.45
2024-01-01 09:00:00,9.441,26.54,861.9,833.04,863.57,1498.69,775.76,867.82
2024-01-01 10:00:00,10.609,24.795,845.17,769.89,791.05,1460.07,749.35,773.77
2024-01-01 11:00:00,10.268,24.646,859.7,845.59,826.55,1505.81,767.89,815.51
2024-01-01 12:00:00,9.419,23.535,802.82,885.52,807.11,1460.66,834.21,814.27
2024-01-01 13:00:00,9.987,20.099,765.13,771.92,817.73,1412.96,839.87,795.11
2024-01-01 14:00:00,9.201,21.451,799.52,849.05,854.29,1406.34,777.44,876.87
2024-01-01 15:00:00,7.921,22.263,852.25,946.97,769.19,1403.25,857.1,818.51
2024-01-01 16:00:00,8.743,22.546,834.82,791.44,850.06,,894.55,792.28
2024-01-01 17:00:00,7.591,19.773,821.5,905.62,817.39,1417.1,,870.53
2024-01-01 18:00:00,9.05,21.799,772.9,756.16,804.26,1405.73,848.79,804.13
2024-01-01 19:00:00,8.379,20.596,839.83,844.86,845.34,1398.25,780.9,882.09
2024-01-01 20:00:00,8.421,22.434,721.61,842.24,846.44,1452.86,914.72,866.33
2024-01-01 21:00:00,8.245,22.457,846.69,785.27,835.83,1449.14,817.8,902.05
2024-01-01 22:00:00,10.046,23.797,772.56,843.29,837.4,1444.13,763.26,772.0
2024-01-01 23:00:00,9.264,24.676,858.97,833.5,840.92,1437.23,889.21,864.27
2024-01-02 00:00:00,9.385,24.473,864.01,786.01,797.51,1522.74,852.15,940.87
2024-01-02 01:00:00,9.786,25.48,858.14,826.42,871.41,1480.12,777.72,871.04
2024-01-02 02:00:00,10.813,24.518,767.94,805.12,833.62,1487.16,782.84,828.67
2024-01-02 03:00:00,10.958,28.747,753.54,704.24,807.73,1453.65,798.28,860.61
2024-01-02 04:00:00,11.216,24.222,733.8,623.37,749.74,1405.6,701.75,773.11
2024-01-02 05:00:00,11.38,25.257,770.18,742.9,740.62,1492.42,,774.54
2024-01-02 06:00:00,12.819,27.046,647.46,647.1,799.04,1467.93,719.7,699.21
2024-01-02 07:00:00,10.769,26.805,840.89,831.37,795.25,1525.96,801.82,829.77
2024-01-02 08:00:00,10.594,26.292,785.12,769.35,812.19,1469.36,739.08,912.85
2024-01-02 09:00:00,10.192,26.204,828.92,813.55,836.28,1485.84,793.95,862.3
2024-01-02 10:00:00,11.116,22.483,696.27,741.34,651.16,1389.73,772.19,732.35
2024-01-02 11:00:00,11.266,26.412,737.67,691.66,744.99,1510.83,759.41,779.98
2024-01-02 12:00:00,9.99,23.746,,802.76,903.3,1437.54,783.48,856.06
2024-01-02 13:00:00,9.128,24.971,872.53,779.77,720.8,1501.38,797.25,872.65
2024-01-02 14:00:00,8.88,20.555,818.25,772.5,757.09,1444.2,835.35,
2024-01-02 15:00:00,9.84,22.891,827.48,759.88,790.85,1427.27,793.37,806.9
2024-01-02 16:00:00,9.752,21.59,806.31,755.28,763.02,1407.82,789.65,788.46
2024-01-02 17:00:00,9.501,22.754,832.76,805.81,785.58,1418.09,810.16,793.41
2024-01-02 18:00:00,8.522,22.38,,828.76,790.05,1494.23,868.44,913.62
2024-01-02 19:00:00,9.309,22.507,813.5,830.99,813.14,1427.43,735.57,852.21
2024-01-02 20:00:00,9.365,20.997,,750.33,825.72,1395.96,783.7,867.52
2024-01-02 21:00:00,9.666,22.516,824.88,798.17,828.68,1394.58,812.74,840.0
2024-01-02 22:00:00,10.465,22.781,801.01,760.08,756.52,1408.65,780.86,817.57
2024-01-02 23:00:00,10.264,24.072,897.6,799.84,845.42,1437.46,861.09,820.39
2024-01-03 00:00:00,10.967,25.18,835.72,773.86,793.26,1495.7,774.45,793.12
2024-01-03 01:00:00,10.816,24.689,718.47,,834.74,1446.75,814.11,767.59
2024-01-03 02:00:00,11.31,23.456,749.92,702.9,777.72,1416.96,771.61,758.45
2024-01-03 03:00:00,11.86,25.527,726.61,722.94,745.94,1481.28,765.78,717.14
2024-01-03 04:00:00,10.408,28.845,860.13,779.47,816.29,,792.63,810.69
2024-01-03 05:00:00,11.465,27.882,757.29,800.93,799.18,1472.97,708.2,803.27
2024-01-03 06:00:00,11.413,22.4,762.14,738.86,809.16,1454.09,805.21,756.62
2024-01-03 07:00:00,11.264,25.972,686.39,755.45,786.37,1457.04,754.87,796.28
2024-01-03 08:00:00,11.462,26.809,710.66,694.04,787.37,1494.79,739.93,
2024-01-03 09:00:00,12.715,25.147,774.49,653.94,746.13,1454.14,641.21,756.33
2024-01-03 10:00:00,10.604,24.393,789.52,788.38,720.75,1386.7,799.53,822.92
2024-01-03 11:00:00,11.809,24.135,701.84,717.18,691.11,1424.12,616.07,722.68
2024-01-03 12:00:00,9.404,24.593,835.86,819.28,838.72,1449.76,756.03,816.41
2024-01-03 13:00:00,10.198,22.026,755.53,718.23,755.21,1378.92,716.19,793.68
2024-01-03 14:00:00,10.333,24.34,787.95,757.13,792.78,1451.15,739.81,799.74
2024-01-03 15:00:00,10.449,22.423,734.02,767.94,789.01,1422.5,759.94,741.34
2024-01-03 16:00:00,10.384,21.041,753.48,825.65,885.4,1411.01,795.47,853.44
2024-01-03 17:00:00,10.356,23.302,777.76,709.94,790.0,1439.17,770.38,825.43
2024-01-03 18:00:00,9.427,20.02,845.35,766.62,715.06,1383.49,833.7,845.43
2024-01-03 19:00:00,9.403,21.265,828.66,736.98,819.86,1455.57,888.26,821.47
2024-01-03 20:00:00,10.604,21.434,796.79,782.16,,,771.71,806.92
2024-01-03 21:00:00,9.981,24.999,812.13,853.06,840.31,1419.75,840.19,836.99
2024-01-03 22:00:00,9.387,22.006,844.99,830.06,835.26,1396.59,837.28,872.11
2024-01-03 23:00:00,9.815,20.712,767.8,821.14,767.4,1428.03,804.21,843.19
2024-01-04 00:00:00,10.322,23.104,767.07,745.17,779.77,1426.59,731.63,809.11
2024-01-04 01:00:00,11.79,24.853,755.09,738.17,720.16,1420.73,723.52,723.81
2024-01-04 02:00:00,11.82,25.715,733.63,693.6,728.58,1483.85,692.46,734.67
2024-01-04 03:00:00,12.532,27.906,721.43,697.63,735.87,1539.45,716.99,740.41
2024-01-04 04:00:00,11.852,27.166,742.8,747.36,804.88,1482.36,744.4,785.03
2024-01-04 05:00:00,12.465,25.887,,680.93,,1476.72,678.89,708.88
2024-01-04 06:00:00,12.903,24.645,736.14,699.08,718.45,1473.5,696.67,711.88
2024-01-04 07:00:00,12.138,27.579,716.01,707.7,780.52,1554.36,705.05,
2024-01-04 08:00:00,12.654,24.971,641.59,691.07,622.44,1455.35,,762.95
2024-01-04 09:00:00,11.592,24.289,721.88,807.06,741.54,1437.98,685.74,763.39
2024-01-04 10:00:00,11.606,24.146,714.16,750.22,823.05,1434.87,669.69,773.5
2024-01-04 11:00:00,11.324,22.644,779.81,709.44,764.58,1347.78,792.77,815.83
2024-01-04 12:00:00,10.385,23.053,822.33,764.37,,1392.9,819.41,861.18
2024-01-04 13:00:00,11.444,22.794,710.27,769.06,879.02,1429.48,750.5,782.79
2024-01-04 14:00:00,10.411,23.449,764.5,825.36,846.42,,746.18,844.89
2024-01-04 15:00:00,10.571,21.673,725.06,769.9,813.86,1387.39,729.15,829.6
2024-01-04 16:00:00,10.777,20.28,767.16,696.84,764.18,1370.34,700.13,776.33
2024-01-04 17:00:00,10.651,19.656,763.03,723.7,779.09,1379.74,748.03,765.63
2024-01-04 18:00:00,10.807,21.743,795.44,768.15,863.65,1450.11,770.96,820.26
2024-01-04 19:00:00,10.258,21.626,805.79,807.89,885.05,1382.04,759.42,855.89
2024-01-04 20:00:00,10.14,21.051,811.41,828.0,769.21,1384.47,837.54,791.78
2024-01-04 21:00:00,10.627,21.451,719.68,686.92,710.17,1400.61,678.09,773.63
2024-01-04 22:00:00,9.61,22.87,791.92,845.95,817.22,1439.69,834.29,820.59
2024-01-04 23:00:00,10.112,24.532,839.89,856.43,843.82,1467.21,789.59,774.31
2024-01-05 00:00:00,10.543,22.421,762.42,679.09,862.36,1430.3,771.39,749.62
2024-01-05 01:00:00,11.134,23.958,707.55,752.18,770.25,1457.26,640.23,742.94
2024-01-05 02:00:00,12.561,25.46,737.85,716.69,715.38,1459.41,661.35,734.19
2024-01-05 03:00:00,11.786,23.768,715.93,663.91,796.73,1428.71,673.32,745.85
2024-01-05 04:00:00,12.418,24.973,750.99,672.28,694.09,1401.21,743.58,723.09
2024-01-05 05:00:00,13.899,25.121,645.75,637.31,665.35,1386.73,598.32,671.67
2024-01-05 06:00:00,12.635,23.635,688.34,656.21,717.39,1393.4,606.15,771.88
2024-01-05 07:00:00,13.488,25.317,714.24,622.95,689.89,1468.88,655.51,707.11
2024-01-05 08:00:00,12.05,24.926,684.24,719.51,800.25,1489.1,748.72,756.72
2024-01-05 09:00:00,12.461,25.21,763.14,643.98,755.0,1406.2,718.68,761.98
2024-01-05 10:00:00,11.635,22.678,715.31,681.8,726.87,1439.61,720.14,738.2
2024-01-05 11:00:00,11.853,23.604,738.17,735.29,736.74,1378.06,743.94,758.82
2024-01-05 12:00:00,12.504,24.704,714.76,725.02,845.59,1455.38,650.86,711.17
2024-01-05 13:00:00,10.157,24.993,792.24,814.89,752.3,1456.56,805.36,772.73
2024-01-05 14:00:00,11.615,23.525,715.71,782.48,676.08,1362.69,743.7,760.19
2024-01-05 15:00:00,11.226,20.133,730.55,753.35,698.22,1340.17,730.11,762.21
